,std_id,grade,dropout,course,forum_score
0,06373182f57cba093af22253f8168c52a9a78364,1.0,0,0,0.87
1,7d0b1a43172390b552887abf7401502a98bf3d3d,1.0,0,0,0.37
2,4f5e1cd04736ceec53e1cd73aeaa30474b78ed4b,1.0,0,0,0.13
3,6add56beb2a9f505dc6f37517afe97ef6616c7d1,1.0,0,0,0.49
4,55b5c35c8b429a6c78e16fd9a1f2c4c94f382761,0.0,1,0,0.10
5,de91a788469214f501464785cb392c4ee144e0ea,0.61,0,0,0.55
6,5fa44f4d7ec6e3cb742edd14dcb6f8ff4ae21a61,0.9,0,0,0.32
7,ad2a50c17b4001e23fa15cd29593035cdb83510b,0.17,0,0,0.79
8,0c9e00292f4daba30b0eba8de68d7475ba419a5b,0.0,1,0,0.73
9,e9aa828b341e953f85d35ed4f68765c854f2b3b2,0.0,1,0,0.18
10,c4d65af973359e9b6fc2e1368d51a50c45e57de4,0.0,1,0,0.60
11,5343c160d25a70c6e807c9e43a35c0cff3e1e6b0,0.0,1,0,0.26
12,fb22ea8ee8b1e7d2c51a83e89c47b9d0a2968aa8,0.0,1,0,0.62
13,6d7e3936922c50a71a7916852ef13fe0d34af504,0.0,1,0,0.04
14,a77fee30bcef00b6396b69496c9aa02ee7aaba46,0.0,1,0,0.03
15,e112e42492fe2512ae3b0006515f86553b9cfbe1,0.0,1,0,0.44
16,bcc79581d282edf100f83bb767daac69f917386a,0.0,1,0,0.11
17,43ae1bc1b94d89a4e40357eb3a766bdb8fccf2cf,1.0,0,0,0.71
18,56dc05414fcf6c83b2618a90f451409fd2c9922e,0.1,0,0,0.79
19,85eb1d4c08a999a91526abb3122f5cf8f8adce85,0.17,0,0,0.88
20,099f0db9de83884e1f396102b1e784764911f7bf,0.0,1,0,0.59
21,541e2c553209669df21be57763b91f07a4f7b2be,0.0,1,0,0.85
22,feff881249654799bf271af3c525fef2243b4dd9,1.0,0,0,0.55
23,e51754a5bcc1dc7f8181254077e6561285b2351d,0.0,1,0,0.41
24,76604a0dfafa46682ced4b2d54ae62147227f75b,1.0,0,0,0.32
25,11c7a82831cd5c88443da965b9df9b986578ef9a,0.0,1,0,0.25
26,d6084659fbdeb2b63de1d8a539cbdd91d6392513,1.0,0,0,0.23
27,47abd40d5e2c176d8e76346fb6eaff78e8273e7a,0.0,1,0,0.08
